date,code,open,high,low,close,volume,turn,pctChg
2019-11-29,sh.000001,2924.3400,3008.3140,2858.5800,2871.9810,304496169728,8.748289,-1.948600
2019-12-31,sh.000001,2874.4480,3051.6770,2857.3200,3050.1240,412769490944,11.796483,6.202800
2020-01-23,sh.000001,3066.3350,3127.1690,2955.3460,2976.5280,387340424192,11.000025,-2.412900
2020-02-28,sh.000001,2716.6970,3058.8980,2685.2690,2880.3030,653701708800,18.425197,-3.232800
2020-03-31,sh.000001,2899.3100,3074.2570,2646.8048,2750.2962,698947474144,19.621455,-4.513700
2020-04-30,sh.000001,2743.5409,2865.5900,2719.9043,2860.0822,471037919700,13.175032,3.991800
2020-05-29,sh.000001,2831.6326,2914.2838,2802.4653,2852.3512,370370726100,10.348125,-0.270300
2020-06-30,sh.000001,2871.9641,2990.8253,2871.9641,2984.6741,469981968500,13.085494,4.639100
2020-07-31,sh.000001,2991.1813,3458.7914,2984.9841,3310.0065,1024499525500,28.577378,10.900100
2020-08-31,sh.000001,3332.1826,3456.7206,3263.2653,3395.6775,735912569800,20.731151,2.588200
2020-09-30,sh.000001,3389.7424,3425.6294,3202.3435,3218.0521,490622905000,13.788598,-5.230900
2020-10-30,sh.000001,3262.6105,3371.0862,3219.4216,3224.5325,303696134800,8.532020,0.201400
2020-11-30,sh.000001,3228.7150,3456.7365,3209.9094,3391.7551,568057672500,15.842568,5.185900
2020-12-31,sh.000001,3388.9867,3474.9182,3325.1720,3473.0693,644514554300,17.833758,2.397400
2021-01-29,sh.000001,3474.6793,3637.1002,3446.5471,3483.0692,663962352900,18.243175,0.287900
2021-02-26,sh.000001,3477.1715,3731.6870,3465.7706,3509.0804,484073831700,13.181412,0.746800
2021-03-31,sh.000001,3531.4802,3577.6218,3328.3119,3441.9115,744063126300,20.250139,-1.914100
2021-04-30,sh.000001,3444.8102,3497.1208,3373.0939,3446.8564,569526841600,15.496750,0.143700
2021-05-31,sh.000001,3446.0743,3626.3584,3384.6966,3615.4773,580168276500,15.679663,4.892000
2021-06-30,sh.000001,3608.5978,3629.2896,3503.1833,3591.1970,668364524800,17.869142,-0.671600
2021-07-30,sh.000001,3600.5464,3607.7049,3312.7206,3397.3574,790394912200,20.926254,-5.397600
2021-08-31,sh.000001,3385.6902,3544.0941,3367.6430,3543.9402,894265998400,23.580227,4.314600
2021-09-30,sh.000001,3543.8663,3723.8451,3514.6744,3568.1668,1072908158400,28.165626,0.683600
2021-10-29,sh.000001,3609.0874,3625.0156,3502.8013,3547.3361,561816733800,14.695668,-0.583800
2021-11-30,sh.000001,3530.3963,3602.7354,3448.4378,3563.8872,715132246300,18.593577,0.466600
2021-12-31,sh.000001,3561.8860,3708.9424,3558.6910,3639.7754,863871281300,22.260479,2.129400
2022-01-28,sh.000001,3649.1510,3651.8924,3356.5558,3361.4397,662572005600,16.997002,-7.647100
2022-02-28,sh.000001,3407.7621,3500.1471,3390.4578,3462.3064,537725366100,13.740752,3.000700
2022-03-31,sh.000001,3471.3646,3500.2872,3023.3045,3252.2029,870200597100,22.187521,-6.068300
2022-04-29,sh.000001,3234.6680,3290.2561,2863.6497,3047.0624,747790770000,19.024974,-6.307700
